eval,source,viewport,level,name,evidence,report_path,suite,model,model_slug,source_kind,screenshot_name,bbox_px
code-review,deterministic,mobile,fail,grid_list_item_children,"grid-based insight/takeaway list items should wrap content in one child; examples: build_chart_brief.py : data loading, per-artifact line-chart construction, table/ranking r | run_eval.py : end-to-end regeneration + 4 viewport checker invocations. | check_candle_renderings.py : contract checks, list/metric/timeline parser additions, and r",results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-mobile.json,publish,codexspark,codexspark,clean-final,,
module-explainer,deterministic,mobile,warn,split_rail_heading_alignment,Artifact mode payload ↔ Pair mode additions delta=681.8px,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-mobile.json,publish,codexspark,codexspark,clean-final,,
numeric-data,deterministic,deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=7510,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-deep.json,publish,codexspark,codexspark,clean-final,,
numeric-data,deterministic,deep,warn,metric_row_squeeze,section.section.stack > div.section-rail > aside.panel.stack > div.metric-list > div.metric-row row=446px meter=140px value=150/137px overRight=111px; section.section.stack > div.section-rail > aside.panel.stack > div.metric-list > div.metric-row row=446px meter=140px value=150/137px overRight=111px; section.section.stack > div.section-rail > aside.panel.stack > div.metric-list > div.metric-row row=446px meter=140px value=150/130px overRight=111px,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-deep.json,publish,codexspark,codexspark,clean-final,,
code-review,deterministic,deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-deep.json,publish,codexspark,codexspark,clean-final,,
code-review,deterministic,deep,fail,grid_list_item_children,"grid-based insight/takeaway list items should wrap content in one child; examples: build_chart_brief.py : data loading, per-artifact line-chart construction, table/ranking r | run_eval.py : end-to-end regeneration + 4 viewport checker invocations. | check_candle_renderings.py : contract checks, list/metric/timeline parser additions, and r",results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-deep.json,publish,codexspark,codexspark,clean-final,,
module-explainer,deterministic,deep,warn,split_rail_heading_alignment,Artifact mode payload ↔ Pair mode additions delta=-25px,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-deep.json,publish,codexspark,codexspark,clean-final,,
numeric-data,deterministic,mobile-deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=7510,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-mobile-deep.json,publish,codexspark,codexspark,clean-final,,
numeric-data,deterministic,mobile-deep,fail,layout_overflow,section.section.stack > div.section-rail > div.stack > article.panel.chart-panel.stack > p.chart-caption overX=0 overY=0 offRight=202; div.section-rail > div.stack > article.panel.stack > div.section-head > h2 overX=0 overY=0 offRight=202; main.page.stack > section.section.stack > div.section-rail > aside.panel.stack > h2 overX=0 overY=0 offRight=202; div.section-rail > aside.panel.stack > div.metric-list > div.metric-row > span.caption overX=0 overY=0 offRight=40; div.section-rail > aside.panel.stack > div.metric-list > div.metric-row > code overX=0 overY=0 offRight=202,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-mobile-deep.json,publish,codexspark,codexspark,clean-final,,
code-review,deterministic,mobile-deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-mobile-deep.json,publish,codexspark,codexspark,clean-final,,
code-review,deterministic,mobile-deep,fail,grid_list_item_children,"grid-based insight/takeaway list items should wrap content in one child; examples: build_chart_brief.py : data loading, per-artifact line-chart construction, table/ranking r | run_eval.py : end-to-end regeneration + 4 viewport checker invocations. | check_candle_renderings.py : contract checks, list/metric/timeline parser additions, and r",results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-mobile-deep.json,publish,codexspark,codexspark,clean-final,,
module-explainer,deterministic,mobile-deep,warn,split_rail_heading_alignment,Artifact mode payload ↔ Pair mode additions delta=681.8px,results/publish/models/codexspark/reports/skill-with-shell-codexspark-publication-final-visionfill-mobile-deep.json,publish,codexspark,codexspark,clean-final,,
module-explainer,vlm,deep,fail,vision_unstyled_render,"The entire page appears to be rendered with browser-default serif typography and unstyled HTML controls/layout rather than the Birch visual system; headings, lists, code blocks, and tables have no visible stylesheet treatment.",results/publish/models/codexspark/reports/vision-findings.json,publish,codexspark,codexspark,clean-final,module-explainer-deep.png,"{'x': 0, 'y': 0, 'width': 1365, 'height': 4096}"
module-explainer,vlm,mobile-deep,fail,vision_unstyled_render,"The mobile deep render appears globally unstyled with default browser serif text, raw list/table formatting, and no Birch layout treatment.",results/publish/models/codexspark/reports/vision-findings.json,publish,codexspark,codexspark,clean-final,module-explainer-mobile-deep.png,"{'x': 0, 'y': 0, 'width': 390, 'height': 4096}"
module-explainer,vlm,desktop,fail,vision_unstyled_render,"The desktop viewport appears globally unstyled, using default browser typography and raw document flow rather than the expected Birch-styled artifact layout.",results/publish/models/codexspark/reports/vision-findings.json,publish,codexspark,codexspark,clean-final,module-explainer-desktop.png,"{'x': 0, 'y': 0, 'width': 1365, 'height': 900}"
module-explainer,vlm,mobile,fail,vision_unstyled_render,The mobile viewport appears globally unstyled with default serif headings/body text and raw document layout.,results/publish/models/codexspark/reports/vision-findings.json,publish,codexspark,codexspark,clean-final,module-explainer-mobile.png,"{'x': 0, 'y': 0, 'width': 390, 'height': 900}"
numeric-data,vlm,mobile-deep,fail,vision_clipped_content,"Mobile deep render has severe horizontal overflow: the chart, numeric table, ranking panel, and caveat area extend beyond the right edge, with content/labels cut off and a page-level horizontal scrollbar visible. The layout is not usable without sideways scrolling and several panels are visibly truncated.",results/publish/models/codexspark/reports/vision-findings.json,publish,codexspark,codexspark,clean-final,numeric-data-mobile-deep.png,"{'x': 0, 'y': 1278, 'width': 395, 'height': 1414}"
module-explainer,deterministic,desktop,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=22,results/publish/models/deepseek/reports/skill-with-shell-deepseek-publication-final-visionfill-desktop.json,publish,deepseek,deepseek,clean-final,,
module-explainer,deterministic,desktop,warn,black_pixel_fraction,blackish fraction 0.1297 may indicate unstyled SVG/code blocks,results/publish/models/deepseek/reports/skill-with-shell-deepseek-publication-final-visionfill-desktop.json,publish,deepseek,deepseek,clean-final,,
module-explainer,deterministic,mobile,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=22,results/publish/models/deepseek/reports/skill-with-shell-deepseek-publication-final-visionfill-mobile.json,publish,deepseek,deepseek,clean-final,,
module-explainer,deterministic,mobile,fail,layout_overflow,main.page.stack > section.section.stack > div.grid > article.card.stack > pre.code-block overX=24 overY=0 offRight=0; section.section.stack > div.grid > article.card.stack > pre.code-block > code overX=0 overY=0 offRight=16; main.page.stack > section.section.stack > div.grid > article.card.stack > pre.code-block overX=79 overY=0 offRight=0; section.section.stack > div.grid > article.card.stack > pre.code-block > code overX=0 overY=0 offRight=71; body > main.page.stack > section.section.stack > div.card.stack > pre.code-block overX=79 overY=0 offRight=0,results/publish/models/deepseek/reports/skill-with-shell-deepseek-publication-final-visionfill-mobile.json,publish,deepseek,deepseek,clean-final,,
module-explainer,deterministic,mobile,fail,container_text_overflow,section.section.stack > div.grid > article.card.stack > pre.code-block > code spills within body > main.page.stack > section.section.stack > div.grid > article.card.stack right=24px left=0px scrollX=0px (493/469px); section.section.stack > div.grid > article.card.stack > pre.code-block > code spills within body > main.page.stack > section.section.stack > div.grid > article.card.stack right=79px left=0px scrollX=0px (548/469px); main.page.stack > section.section.stack > div.card.stack > pre.code-block > code spills within html > body > main.page.stack > section.section.stack > div.card.stack right=79px left=0px scrollX=0px (548/469px),results/publish/models/deepseek/reports/skill-with-shell-deepseek-publication-final-visionfill-mobile.json,publish,deepseek,deepseek,clean-final,,
module-explainer,deterministic,deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=22,results/publish/models/deepseek/reports/skill-with-shell-deepseek-publication-final-visionfill-deep.json,publish,deepseek,deepseek,clean-final,,
module-explainer,deterministic,mobile-deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=22,results/publish/models/deepseek/reports/skill-with-shell-deepseek-publication-final-visionfill-mobile-deep.json,publish,deepseek,deepseek,clean-final,,
module-explainer,deterministic,mobile-deep,fail,layout_overflow,main.page.stack > section.section.stack > div.grid > article.card.stack > pre.code-block overX=24 overY=0 offRight=0; section.section.stack > div.grid > article.card.stack > pre.code-block > code overX=0 overY=0 offRight=16; main.page.stack > section.section.stack > div.grid > article.card.stack > pre.code-block overX=79 overY=0 offRight=0; section.section.stack > div.grid > article.card.stack > pre.code-block > code overX=0 overY=0 offRight=71; body > main.page.stack > section.section.stack > div.card.stack > pre.code-block overX=79 overY=0 offRight=0,results/publish/models/deepseek/reports/skill-with-shell-deepseek-publication-final-visionfill-mobile-deep.json,publish,deepseek,deepseek,clean-final,,
module-explainer,deterministic,mobile-deep,fail,container_text_overflow,section.section.stack > div.grid > article.card.stack > pre.code-block > code spills within body > main.page.stack > section.section.stack > div.grid > article.card.stack right=24px left=0px scrollX=0px (493/469px); section.section.stack > div.grid > article.card.stack > pre.code-block > code spills within body > main.page.stack > section.section.stack > div.grid > article.card.stack right=79px left=0px scrollX=0px (548/469px); main.page.stack > section.section.stack > div.card.stack > pre.code-block > code spills within html > body > main.page.stack > section.section.stack > div.card.stack right=79px left=0px scrollX=0px (548/469px),results/publish/models/deepseek/reports/skill-with-shell-deepseek-publication-final-visionfill-mobile-deep.json,publish,deepseek,deepseek,clean-final,,
module-explainer,vlm,deep,fail,vision_unstyled_render,"The page appears to be rendered with default browser styling (Times-like text, no Birch card/layout styling, plain white page), indicating the intended stylesheet/layout did not apply.",results/publish/models/deepseek/reports/vision-findings.json,publish,deepseek,deepseek,clean-final,module-explainer-deep.png,"{'x': 0, 'y': 0, 'width': 1366, 'height': 2912}"
module-explainer,vlm,deep,fail,vision_other,The runtime path diagram area renders as a large solid black rectangle instead of a readable pipeline/flow diagram.,results/publish/models/deepseek/reports/vision-findings.json,publish,deepseek,deepseek,clean-final,module-explainer-deep.png,"{'x': 8, 'y': 646, 'width': 640, 'height': 380}"
module-explainer,vlm,mobile-deep,fail,vision_unstyled_render,The mobile page is also rendered with default browser styling rather than the intended Birch styled layout.,results/publish/models/deepseek/reports/vision-findings.json,publish,deepseek,deepseek,clean-final,module-explainer-mobile-deep.png,"{'x': 0, 'y': 0, 'width': 390, 'height': 3024}"
module-explainer,vlm,mobile-deep,fail,vision_other,"The runtime path diagram area appears as a solid black block, with no readable nodes or connectors.",results/publish/models/deepseek/reports/vision-findings.json,publish,deepseek,deepseek,clean-final,module-explainer-mobile-deep.png,"{'x': 8, 'y': 1034, 'width': 358, 'height': 212}"
module-explainer,vlm,desktop,fail,vision_unstyled_render,"The visible desktop render is plain default HTML styling, not the intended Birch styled artifact.",results/publish/models/deepseek/reports/vision-findings.json,publish,deepseek,deepseek,clean-final,module-explainer-desktop.png,"{'x': 0, 'y': 0, 'width': 1366, 'height': 900}"
module-explainer,vlm,desktop,fail,vision_other,"The visible diagram area is a large solid black rectangle, suggesting a malformed or missing SVG/flow visualization.",results/publish/models/deepseek/reports/vision-findings.json,publish,deepseek,deepseek,clean-final,module-explainer-desktop.png,"{'x': 8, 'y': 646, 'width': 640, 'height': 254}"
module-explainer,vlm,mobile,fail,vision_unstyled_render,The mobile viewport shows default browser styling with no visible Birch layout/theme applied.,results/publish/models/deepseek/reports/vision-findings.json,publish,deepseek,deepseek,clean-final,module-explainer-mobile.png,"{'x': 0, 'y': 0, 'width': 390, 'height': 900}"
implementation-plan,deterministic,mobile,fail,layout_overflow,table.numeric-table > tbody > tr > td.metric > code overX=0 overY=0 offRight=297; table.numeric-table > tbody > tr > td.metric > code overX=0 overY=0 offRight=462; table.numeric-table > tbody > tr > td.metric > code overX=0 overY=0 offRight=149; table.numeric-table > tbody > tr > td.metric > code overX=0 overY=0 offRight=140; table.numeric-table > tbody > tr > td.metric > code overX=0 overY=0 offRight=140,results/publish/models/glm51/reports/skill-with-shell-glm51-publication-final-mobile.json,publish,glm51,glm51,clean-final,,
implementation-plan,deterministic,mobile-deep,fail,layout_overflow,table.numeric-table > tbody > tr > td.metric > code overX=0 overY=0 offRight=297; table.numeric-table > tbody > tr > td.metric > code overX=0 overY=0 offRight=462; table.numeric-table > tbody > tr > td.metric > code overX=0 overY=0 offRight=149; table.numeric-table > tbody > tr > td.metric > code overX=0 overY=0 offRight=140; table.numeric-table > tbody > tr > td.metric > code overX=0 overY=0 offRight=140,results/publish/models/glm51/reports/skill-with-shell-glm51-publication-final-mobile-deep.json,publish,glm51,glm51,clean-final,,
code-review,vlm,mobile-deep,fail,vision_clipped_content,"Mobile render has horizontal page overflow with visible horizontal scrollbar; several long pill labels run past the right edge of their cards/viewport and are clipped, making mobile content partially offscreen.",results/publish/models/glm51/reports/vision-findings.json,publish,glm51,glm51,clean-final,code-review-mobile-deep.png,"{'x': 0, 'y': 560, 'width': 400, 'height': 6784}"
code-review,vlm,mobile,fail,vision_clipped_content,"Mobile viewport shows horizontal overflow/scrollbar and the first finding card's long label extends past the right edge, leaving content offscreen.",results/publish/models/glm51/reports/vision-findings.json,publish,glm51,glm51,clean-final,code-review-mobile.png,"{'x': 0, 'y': 560, 'width': 390, 'height': 340}"
implementation-plan,vlm,mobile-deep,warn,vision_clipped_content,"In the mobile deep view, the milestone criterion tables render as horizontally scrollable boxes with most table columns/content offscreen and large blank table areas visible. The surrounding prose remains readable, but the table content is effectively clipped in the mobile layout.",results/publish/models/glm51/reports/vision-findings.json,publish,glm51,glm51,clean-final,implementation-plan-mobile-deep.png,"{'x': 90, 'y': 3190, 'width': 248, 'height': 220}"
implementation-plan,vlm,mobile-deep,warn,vision_clipped_content,"A second milestone criterion table has the same mobile rendering issue: the table is too wide for the card, leaving most columns offscreen behind a horizontal scrollbar and only a clipped fragment of the row visible.",results/publish/models/glm51/reports/vision-findings.json,publish,glm51,glm51,clean-final,implementation-plan-mobile-deep.png,"{'x': 90, 'y': 4140, 'width': 248, 'height': 220}"
numeric-data,vlm,deep,warn,vision_chart_malformed,"The weekly trend chart contains stray disconnected colored point/line fragments near the lower middle of the plot area, separate from the intended rising line series and bars. This could be mistaken for extra low data points.",results/publish/models/glm51/reports/vision-findings.json,publish,glm51,glm51,clean-final,numeric-data-deep.png,"{'x': 653, 'y': 1263, 'width': 235, 'height': 62}"
numeric-data,vlm,mobile-deep,warn,vision_chart_malformed,"The small trend chart includes disconnected colored marker fragments near the lower portion of the plot, visually separate from the main line trajectories and bars.",results/publish/models/glm51/reports/vision-findings.json,publish,glm51,glm51,clean-final,numeric-data-mobile-deep.png,"{'x': 176, 'y': 1383, 'width': 80, 'height': 32}"
numeric-data,deterministic,desktop,warn,metric_row_squeeze,div.section-rail > aside.reference-panel.stack > div.stack > div.metric-list > div.metric-row row=340px meter=120px value=22/22px overRight=20px; div.section-rail > aside.reference-panel.stack > div.stack > div.metric-list > div.metric-row row=340px meter=120px value=22/22px overRight=20px; div.section-rail > aside.reference-panel.stack > div.stack > div.metric-list > div.metric-row row=340px meter=120px value=22/22px overRight=20px,results/publish/models/gpt-5-3-codex/reports/skill-with-shell-gpt-5-3-codex-publication-final-desktop.json,publish,gpt-5.3-codex,gpt-5-3-codex,clean-final,,
benchmark-comparison,deterministic,desktop,fail,layout_overflow,main.page.stack > section.section.stack > div.auto-grid > article.card.stat-card > div.stat-value overX=16 overY=2 offRight=0,results/publish/models/gpt-5-3-codex/reports/skill-with-shell-gpt-5-3-codex-publication-final-desktop.json,publish,gpt-5.3-codex,gpt-5-3-codex,clean-final,,
benchmark-comparison,deterministic,desktop,fail,container_text_overflow,main.page.stack > section.section.stack > div.auto-grid > article.card.stat-card > div.stat-value spills within body > main.page.stack > section.section.stack > div.auto-grid > article.card.stat-card right=0px left=0px scrollX=16px (113/163px),results/publish/models/gpt-5-3-codex/reports/skill-with-shell-gpt-5-3-codex-publication-final-desktop.json,publish,gpt-5.3-codex,gpt-5-3-codex,clean-final,,
numeric-data,deterministic,mobile,fail,layout_overflow,main.page.stack > section.section.stack > div.auto-grid > article.card.stat-card.stack > span.chip overX=0 overY=0 offRight=9,results/publish/models/gpt-5-3-codex/reports/skill-with-shell-gpt-5-3-codex-publication-final-mobile.json,publish,gpt-5.3-codex,gpt-5-3-codex,clean-final,,
numeric-data,deterministic,deep,warn,metric_row_squeeze,div.section-rail > aside.reference-panel.stack > div.stack > div.metric-list > div.metric-row row=340px meter=120px value=22/22px overRight=20px; div.section-rail > aside.reference-panel.stack > div.stack > div.metric-list > div.metric-row row=340px meter=120px value=22/22px overRight=20px; div.section-rail > aside.reference-panel.stack > div.stack > div.metric-list > div.metric-row row=340px meter=120px value=22/22px overRight=20px,results/publish/models/gpt-5-3-codex/reports/skill-with-shell-gpt-5-3-codex-publication-final-deep.json,publish,gpt-5.3-codex,gpt-5-3-codex,clean-final,,
benchmark-comparison,deterministic,deep,fail,layout_overflow,main.page.stack > section.section.stack > div.auto-grid > article.card.stat-card > div.stat-value overX=16 overY=2 offRight=0,results/publish/models/gpt-5-3-codex/reports/skill-with-shell-gpt-5-3-codex-publication-final-deep.json,publish,gpt-5.3-codex,gpt-5-3-codex,clean-final,,
benchmark-comparison,deterministic,deep,fail,container_text_overflow,main.page.stack > section.section.stack > div.auto-grid > article.card.stat-card > div.stat-value spills within body > main.page.stack > section.section.stack > div.auto-grid > article.card.stat-card right=0px left=0px scrollX=16px (113/163px),results/publish/models/gpt-5-3-codex/reports/skill-with-shell-gpt-5-3-codex-publication-final-deep.json,publish,gpt-5.3-codex,gpt-5-3-codex,clean-final,,
numeric-data,deterministic,mobile-deep,fail,layout_overflow,main.page.stack > section.section.stack > div.auto-grid > article.card.stat-card.stack > span.chip overX=0 overY=0 offRight=9,results/publish/models/gpt-5-3-codex/reports/skill-with-shell-gpt-5-3-codex-publication-final-mobile-deep.json,publish,gpt-5.3-codex,gpt-5-3-codex,clean-final,,
module-explainer,vlm,deep,fail,vision_flow_disconnected,"Targeted diagram audit: the optional bypass labeled “If capture disabled/browser missing:” drops from the Contract node, runs under the Browser pass node, and terminates back near Browser pass rather than continuing to the Write .json/.md output. This makes the disabled-browser route ambiguous/misleading instead of showing a continuous path to reporting.",results/publish/models/gpt-5-3-codex/reports/vision-findings.json,publish,gpt-5.3-codex,gpt-5-3-codex,clean-final,module-explainer-deep.png,"{'x': 748, 'y': 650, 'width': 470, 'height': 105}"
module-explainer,vlm,mobile-deep,warn,vision_flow_disconnected,"Targeted diagram audit: in the mobile-scaled runtime diagram, the lower optional route appears to drop from Contract and stop around the Browser pass area instead of visibly connecting to the final Write node. The label and connector are also extremely small/faint, so the alternate flow is not reliably readable.",results/publish/models/gpt-5-3-codex/reports/vision-findings.json,publish,gpt-5.3-codex,gpt-5-3-codex,clean-final,module-explainer-mobile-deep.png,"{'x': 203, 'y': 735, 'width': 143, 'height': 42}"
module-explainer,deterministic,desktop,fail,uses_birch_system_css,stylesheet links: ['../../../../styles/birch-system.css']; embedded=False; embedded_bytes=0,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-desktop.json,publish,grok-4.3,grok-4-3,clean-final,,
module-explainer,deterministic,desktop,fail,no_unknown_css_vars,undefined CSS vars: --radius,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-desktop.json,publish,grok-4.3,grok-4-3,clean-final,,
implementation-plan,deterministic,desktop,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-desktop.json,publish,grok-4.3,grok-4-3,clean-final,,
benchmark-comparison,deterministic,desktop,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=26,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-desktop.json,publish,grok-4.3,grok-4-3,clean-final,,
module-explainer,deterministic,mobile,fail,uses_birch_system_css,stylesheet links: ['../../../../styles/birch-system.css']; embedded=False; embedded_bytes=0,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-mobile.json,publish,grok-4.3,grok-4-3,clean-final,,
module-explainer,deterministic,mobile,fail,no_unknown_css_vars,undefined CSS vars: --radius,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-mobile.json,publish,grok-4.3,grok-4-3,clean-final,,
implementation-plan,deterministic,mobile,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-mobile.json,publish,grok-4.3,grok-4-3,clean-final,,
benchmark-comparison,deterministic,mobile,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=26,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-mobile.json,publish,grok-4.3,grok-4-3,clean-final,,
module-explainer,deterministic,deep,fail,uses_birch_system_css,stylesheet links: ['../../../../styles/birch-system.css']; embedded=False; embedded_bytes=0,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-deep.json,publish,grok-4.3,grok-4-3,clean-final,,
module-explainer,deterministic,deep,fail,no_unknown_css_vars,undefined CSS vars: --radius,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-deep.json,publish,grok-4.3,grok-4-3,clean-final,,
implementation-plan,deterministic,deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-deep.json,publish,grok-4.3,grok-4-3,clean-final,,
benchmark-comparison,deterministic,deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=26,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-deep.json,publish,grok-4.3,grok-4-3,clean-final,,
module-explainer,deterministic,mobile-deep,fail,uses_birch_system_css,stylesheet links: ['../../../../styles/birch-system.css']; embedded=False; embedded_bytes=0,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-mobile-deep.json,publish,grok-4.3,grok-4-3,clean-final,,
module-explainer,deterministic,mobile-deep,fail,no_unknown_css_vars,undefined CSS vars: --radius,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-mobile-deep.json,publish,grok-4.3,grok-4-3,clean-final,,
implementation-plan,deterministic,mobile-deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=20,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-mobile-deep.json,publish,grok-4.3,grok-4-3,clean-final,,
benchmark-comparison,deterministic,mobile-deep,fail,uses_birch_system_css,stylesheet links: []; embedded=True; embedded_bytes=26,results/publish/models/grok-4-3/reports/skill-with-shell-grok-4-3-publication-final-visionfill-mobile-deep.json,publish,grok-4.3,grok-4-3,clean-final,,
benchmark-comparison,vlm,deep,fail,vision_alignment_issue,"In the 'Warnings per eval' chart, the x-axis category labels are rendered on top of each other as one unreadable string, making the chart misleading/hard to interpret.",results/publish/models/grok-4-3/reports/vision-findings.json,publish,grok-4.3,grok-4-3,clean-final,benchmark-comparison-deep.png,"{'x': 360, 'y': 728, 'width': 310, 'height': 20}"
